PlaceID,Year,LandPrice
1387,1992,574.2061346017815
1387,1993,564.2933629623466
1387,1994,559.3437769252313
1387,1995,558.6888713629054
1387,1996,553.9095307944035
1387,1997,545.4676420187608
1387,1998,531.6833810513214
1387,1999,518.651554374349
1387,2000,500.60054928933886
1387,2001,481.96418806473366
1387,2002,460.0289979044619
1387,2003,439.8598484080942
1387,2004,408.68193580449764
1387,2005,387.29137865406415
1387,2006,382.28083834085146
1387,2007,370.95165396374256
1387,2008,372.50968828737075
1387,2009,365.2087286298079
1387,2010,356.8556179054291
1387,2011,352.93809971370416
1387,2012,341.9342979820925
1387,2013,338.340603027816
1419,1992,201.28001897763892
1419,1993,200.37500455227348
1419,1994,201.350681552886
1419,1995,204.9480687778872
1419,1996,204.69951371361
1419,1997,204.77865579383894
1419,1998,202.28522469680615
1419,1999,201.20935528001033
1419,2000,199.9171062883014
1419,2001,197.5841035132711
1419,2002,193.20630087139378
1419,2003,188.01616422780924
1419,2004,183.3521001603494
1419,2005,178.6819445756194
1419,2006,174.32119489149682
1419,2007,171.9744643939904
1419,2008,170.2220512821214
1419,2009,169.07084229429688
1419,2010,166.40693527635048
1419,2011,164.72183556526204
1419,2012,160.60772211095758
1419,2013,157.96161380551703
1451,1992,354.8355629047063
1451,1993,358.0976033117224
1451,1994,362.45741467068194
1451,1995,369.7129641496982
1451,1996,368.981011229848
1451,1997,366.97461651998157
1451,1998,362.7277073489048
1451,1999,355.6140184058316
1451,2000,348.01317151966697
1451,2001,340.1219289911572
1451,2002,326.2430528881468
1451,2003,311.15268038795887
1451,2004,285.1105506056808
1451,2005,267.2303213570768
1451,2006,256.6593830977149
1451,2007,250.45016942687855
1451,2008,247.670139736189
1451,2009,245.00450758921153
1451,2010,239.72163031915426
1451,2011,234.79036998887085
1451,2012,229.2550866533673
1451,2013,224.79003902319585
1483,1992,299.51181628449444
1483,1993,302.5563426925149
1483,1994,304.7881303827686
1483,1995,312.84652255085
1483,1996,312.97889928337673
